time,GEN1:Vt,GEN2:Vt,GEN3:Vt,GEN4:Vt,GEN5:Vt,GEN6:Vt,GEN7:Vt,GEN8:Vt,GEN9:Vt,GEN10:Vt,GEN1:delta,GEN2:delta,GEN3:delta,GEN4:delta,GEN5:delta,GEN6:delta,GEN7:delta,GEN8:delta,GEN9:delta,GEN10:delta
0.0,1.029999999999994,0.981999999999966,0.9840999999999626,0.9971999999999714,1.0122999999999749,1.04939999999997,1.0635999999999708,1.0274999999999812,1.0264999999999842,1.0498999999999863,-0.07887941161084129,0.8772426026886068,0.8092876753694872,0.9042491375475825,0.9635060679836709,0.8030415485024225,0.932410645971996,0.9353248797423896,1.065560057437363,0.012519174322763942
0.01,1.0299999999999938,0.9819999999999657,0.9840999999999621,0.9971999999999707,1.0122999999999744,1.0493999999999686,1.063599999999969,1.02749999999998,1.0264999999999842,1.0498999999999847,-0.07887941161084129,0.8772426026886068,0.8092876753694872,0.9042491375475825,0.9635060679836709,0.8030415485024225,0.932410645971996,0.9353248797423896,1.065560057437363,0.012519174322763942
0.02,1.029999999999994,0.9819999999999659,0.9840999999999618,0.9971999999999707,1.0122999999999742,1.0493999999999686,1.063599999999969,1.02749999999998,1.0264999999999842,1.0498999999999845,-0.07887941161084129,0.8772426026886068,0.8092876753694872,0.9042491375475825,0.9635060679836709,0.8030415485024225,0.932410645971996,0.9353248797423896,1.065560057437363,0.012519174322763942
0.03,1.029999999999994,0.9819999999999655,0.9840999999999618,0.9971999999999703,1.0122999999999738,1.049399999999968,1.0635999999999688,1.0274999999999799,1.0264999999999842,1.0498999999999843,-0.07887941161084129,0.8772426026886068,0.8092876753694872,0.9042491375475825,0.9635060679836709,0.8030415485024225,0.932410645971996,0.9353248797423896,1.065560057437363,0.012519174322763942
0.04,1.029999999999994,0.9819999999999653,0.9840999999999618,0.9971999999999703,1.0122999999999736,1.0493999999999675,1.0635999999999688,1.0274999999999797,1.0264999999999842,1.0498999999999843,-0.07887941161084129,0.8772426026886068,0.8092876753694872,0.9042491375475825,0.9635060679836709,0.8030415485024225,0.932410645971996,0.9353248797423896,1.065560057437363,0.012519174322763942
0.05,1.0299999999999938,0.9819999999999653,0.9840999999999618,0.9971999999999703,1.0122999999999733,1.049399999999967,1.0635999999999686,1.0274999999999792,1.0264999999999842,1.0498999999999838,-0.07887941161084129,0.8772426026886068,0.8092876753694872,0.9042491375475825,0.9635060679836709,0.8030415485024225,0.932410645971996,0.9353248797423896,1.065560057437363,0.012519174322763942
0.06,1.0299999999999938,0.9819999999999653,0.9840999999999616,0.9971999999999699,1.0122999999999727,1.0493999999999668,1.0635999999999677,1.0274999999999792,1.0264999999999842,1.0498999999999836,-0.07887941161084129,0.8772426026886068,0.8092876753694872,0.9042491375475825,0.9635060679836709,0.8030415485024225,0.932410645971996,0.9353248797423896,1.065560057437363,0.012519174322763942
0.07,1.0299999999999938,0.9819999999999653,0.9840999999999611,0.9971999999999699,1.0122999999999727,1.0493999999999666,1.0635999999999677,1.0274999999999788,1.0264999999999838,1.0498999999999836,-0.07887941161084129,0.8772426026886068,0.8092876753694872,0.9042491375475825,0.9635060679836709,0.8030415485024225,0.932410645971996,0.9353248797423896,1.065560057437363,0.012519174322763942
0.08,1.0299999999999938,0.9819999999999651,0.9840999999999611,0.9971999999999696,1.0122999999999724,1.0493999999999666,1.0635999999999677,1.0274999999999788,1.0264999999999838,1.0498999999999836,-0.07887941161084129,0.8772426026886068,0.8092876753694872,0.9042491375475825,0.9635060679836709,0.8030415485024225,0.932410645971996,0.9353248797423896,1.065560057437363,0.012519174322763942
0.09,1.0299999999999936,0.9819999999999648,0.9840999999999609,0.9971999999999688,1.0122999999999718,1.0493999999999661,1.0635999999999672,1.0274999999999783,1.0264999999999835,1.0498999999999834,-0.07887941161084129,0.8772426026886068,0.8092876753694872,0.9042491375475825,0.9635060679836709,0.8030415485024225,0.932410645971996,0.9353248797423896,1.065560057437363,0.012519174322763942
